StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,netted,"treatment_1 ",Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,treatment_2,Q1_2,Q2_2,Q3_2,Q4_2,Q5_2,Q6_2,Q7_2,Q8_2,Q9_2,Q10_2,"treatment_3 ",Q1_3,Q2_3,Q3_3,Q4_3,Q5_3,Q6_3,Q7_3,Q8_3,Q9_3,Q10_3,treatment_4,Q1_4,Q2_4,Q3_4,Q4_4,Q5_4,Q6_4,Q7_4,Q8_4,Q9_4,Q10_4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your NetID,"This is a spacer element

To ensure that you are not using an AI autofill answer assistant, please describe the person you see on the right of the screen.",1. What does Nozick call his alternative to Rawls’s theory?,2. What kind of consent theory is employed in Rawls’s theory of justice?,3. What two ‘moral powers’ does Rawls attribute to parties behind the veil of ignorance?,4. What does Nozick thinks the Wilt Chamberlain case shows?,5. On which of the following would Nozick and Rawls be most likely to agree?,"6. Imagine there is a fact of the matter about whether some piece of land was stolen or justly transferred. However, no one is still alive who knows, and there is no evidence to settle the question one way or the other. Rawls would characterize this as which of the following:",7. Which of the following property rights would Rawls and Nozick both support?,8. Suppose there is a political society in which private funding for political parties is discovered to result in giving greater opportunities for political influence to the wealthy than to members of others groups? How would Rawls and Mill most likely respond:,9. How would Nozick likely compare his own view to Rawls’s and Mill’s theories.,10. How would Rawls and Mill compare on the right to free expression?,"This is a spacer element

To ensure that you are not using an AI autofill answer assistant, please describe the person you see on the right of the screen.",1. What does Nozick call his alternative to Rawls’s theory?,2. What kind of consent theory is employed in Rawls’s theory of justice?,3. What two ‘moral powers’ does Rawls attribute to parties behind the veil of ignorance?,4. What does Nozick thinks the Wilt Chamberlain case shows?,5. On which of the following would Nozick and Rawls be most likely to agree?,"6. Imagine there is a fact of the matter about whether some piece of land was stolen or justly transferred. However, no one is still alive who knows, and there is no evidence to settle the question one way or the other. Rawls would characterize this as which of the following:",7. Which of the following property rights would Rawls and Nozick both support?,8. Suppose there is a political society in which private funding for political parties is discovered to result in giving greater opportunities for political influence to the wealthy than to members of others groups? How would Rawls and Mill most likely respond:,9. How would Nozick likely compare his own view to Rawls’s and Mill’s theories.,10. How would Rawls and Mill compare on the right to free expression?,"This is a spacer element

To ensure that you are not using an AI autofill answer assistant, please describe the person you see on the right of the screen.",1. What does Nozick call his alternative to Rawls’s theory?,2. What kind of consent theory is employed in Rawls’s theory of justice?,3. What two ‘moral powers’ does Rawls attribute to parties behind the veil of ignorance?,4. What does Nozick thinks the Wilt Chamberlain case shows?,5. On which of the following would Nozick and Rawls be most likely to agree?,"6. Imagine there is a fact of the matter about whether some piece of land was stolen or justly transferred. However, no one is still alive who knows, and there is no evidence to settle the question one way or the other. Rawls would characterize this as which of the following:",7. Which of the following property rights would Rawls and Nozick both support?,8. Suppose there is a political society in which private funding for political parties is discovered to result in giving greater opportunities for political influence to the wealthy than to members of others groups? How would Rawls and Mill most likely respond:,9. How would Nozick likely compare his own view to Rawls’s and Mill’s theories.,10. How would Rawls and Mill compare on the right to free expression?,"To ensure that you are not using an AI autofill answer assistant, please describe the color of the shirt you are wearing.",1. What does Nozick call his alternative to Rawls’s theory?,2. What kind of consent theory is employed in Rawls’s theory of justice?,3. What two ‘moral powers’ does Rawls attribute to parties behind the veil of ignorance?,4. What does Nozick thinks the Wilt Chamberlain case shows?,5. On which of the following would Nozick and Rawls be most likely to agree?,"6. Imagine there is a fact of the matter about whether some piece of land was stolen or justly transferred. However, no one is still alive who knows, and there is no evidence to settle the question one way or the other. Rawls would characterize this as which of the following:",7. Which of the following property rights would Rawls and Nozick both support?,8. Suppose there is a political society in which private funding for political parties is discovered to result in giving greater opportunities for political influence to the wealthy than to members of others groups? How would Rawls and Mill most likely respond:,9. How would Nozick likely compare his own view to Rawls’s and Mill’s theories.,10. How would Rawls and Mill compare on the right to free expression?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}"
2024-03-22 10:14:05,2024-03-22 10:21:53,IP Address,128.187.116.7,100,467,True,2024-03-22 10:21:54,R_5QY8qx4FSzIxDf8,,,,,40.2342,-111.6442,anonymous,EN,schromyl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyan,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls and Mill would both support free expression conditionally, as long as the balance of empirical evidence suggested that free expression would promote the values they associated with justice."
2024-03-22 10:07:32,2024-03-22 10:21:54,IP Address,128.187.116.17,100,861,True,2024-03-22 10:21:54,R_5SCRl3qrVvIlWmV,,,,,40.2342,-111.6442,anonymous,EN,bette4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,white,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form plans with others (reasonability) and the power to communicate those plans to other agents (rationality),You can only achieve justice in holdings through interfering with the free choice of others.,None of the above.,Perfect procedural justice,A right to own whatever is the result of voluntary transfers.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he, Rawls, and Mill would all agree on historical principles, though they would disagree on exactly which principle should be selected.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases."
2024-03-22 10:23:18,2024-03-22 10:23:29,Survey Preview,,100,10,True,2024-03-22 10:23:31,R_2Cqm7KAFV6tetg3,,,,,40.2342,-111.6442,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:25:15,2024-03-22 10:25:50,IP Address,128.187.116.17,100,34,True,2024-03-22 10:25:51,R_7Y3Aw2MMtz1CYV3,,,,,40.2342,-111.6442,anonymous,EN,DO NOT RECORD,,,,,,,,,,,,,,,,,,,,,,,man smiling in black shirt,Justice in distribution,"Actual consent, because Rawls regards it as a core feature of liberalism that everyone in a society must in fact agree to its fundamental rules.",The power to consent to contracts (reasonability) and the power to create new moral rules (rationality),You can only achieve justice in holdings through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Pure procedural justice,A right to a fair share of the cooperatively produced social goods.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would likely agree if public funding best respected the voluntary transfers of groups.","He would say that his own view favors a patterned principle of justice, while Rawls and Mill favor historical principles.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases.",,,,,,,,,,,
2024-03-22 10:04:10,2024-03-22 10:25:57,IP Address,128.187.116.30,100,1306,True,2024-03-22 10:25:58,R_7qe3XPdjF5BpZ7U,,,,,40.2342,-111.6442,anonymous,EN,brycetl,,,,,,,,,,,,Ryan Davis,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own whatever is the result of voluntary transfers.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he, Rawls, and Mill would all agree on historical principles, though they would disagree on exactly which principle should be selected.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases.",,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:32:45,2024-03-22 10:40:06,IP Address,67.128.46.86,100,440,True,2024-03-22 10:40:07,R_2EJRcUY7PCFNqmV,,,,,40.7545,-111.883,anonymous,EN,caydn,,,,,,,,,,,,Dr. Davis wearing a black suit and an orange tie.,Justice in holdings,"Hypothetical consent and actual consent, because Rawls believes that parties must consent in abstract and in fact for a basic structure to be legitimate.",The power to understand the operation of economic rules (rationality) and the power to appreciate the force of moral arguments (reasonability),You can only achieve Rawls’s liberty principle of justice through interfering with the free choice of others.,The basic structure is just if the distribution of property is the result of a just series of historical transfers.,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that his own view favors a patterned principle of justice, while Rawls and Mill favor historical principles.","Mill would support free expression, but only if it wasn’t harmful to the feelings of other groups. Rawls would support free expression in all cases.",,,,,,,,,,,,,,,,,,,,,,
2024-03-22 10:56:20,2024-03-22 11:01:02,IP Address,128.187.116.22,100,281,True,2024-03-22 11:01:03,R_3PCoPVZ1YWNDjn3,,,,,40.2342,-111.6442,anonymous,EN,iknudsen,It is Jesus Christ wearing a red robe.,Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-22 11:06:40,2024-03-22 11:14:37,IP Address,128.187.116.10,100,477,True,2024-03-22 11:14:38,R_5roNybDUfIBOkX4,,,,,40.2342,-111.6442,anonymous,EN,chrismeg,,,,,,,,,,,,,,,,,,,,,,,"the person on the right is a man with dark brown hair, dark eyes, and some facial hair, he has very straight white teeth and is wearing a dark navy blue buttoned shirt.",Justice in holdings,"Actual consent, because Rawls regards it as a core feature of liberalism that everyone in a society must in fact agree to its fundamental rules.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,"The rights of persons should not be violated, even if doing so would produce greater utility than any alternative.",Imperfect procedural justice,A right to own whatever is the result of voluntary transfers.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor free expression as protected by his first principle of justice, and Mill would favor free expression as promoting utility.",,,,,,,,,,,
2024-03-22 11:32:46,2024-03-22 11:41:07,IP Address,128.187.116.30,100,501,True,2024-03-22 11:41:08,R_1BqSo5RGFSjsPbX,,,,,40.2342,-111.6442,anonymous,EN,emhicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's black. ",Justice in holdings,"Hypothetical consent, because Rawls thinks that securing actual consent of all to a basic structure is impossible.",The power to form a plan for one’s own life (rationality) and the power to form agreements on fair terms with others (reasonability),You can only achieve a patterned principle of justice through interfering with the free choice of others.,None of the above.,Imperfect procedural justice,A right to own private property.,"Rawls would likely say that political parties should then be publicly rather than privately funded, and Mill would say that the funding of policies should be according to what best supported utility, understood as the aggregate permanent higher interests.","He would say that he favors historical principles, while Rawls and Mill favor versions of patterned principles.","Rawls would favor support free expression, but only insofar as it is compatible with the well-being of the least advantaged group. Mill would support it in all cases."
