"netted","time","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","treat","sum","logtime"
"iknudsen",281,1,1,1,1,1,1,1,1,1,0,"Christ",9,5.11198778835654
"rer54",8616,1,0,0,0,1,1,0,1,1,1,"Christ",6,9.04793908261736
"ethanw03",1155,1,0,1,1,0,1,1,1,1,1,"Christ",8,6.94697599213542
"nballou0",699,1,0,1,0,0,1,0,0,1,0,"Christ",4,6.36990098282823
"cpope45",176,1,0,1,1,1,1,0,0,0,0,"Christ",5,4.11087386417331
"gavinlt",1253,1,1,0,1,0,1,0,0,1,1,"Christ",6,7.03702761468628
"mattpc",412,1,0,1,0,1,1,0,1,1,1,"Christ",7,5.6937321388027
"dmckenz7",390,0,0,1,0,0,1,0,0,0,0,"Christ",2,5.61677109766657
"kbf27",621,1,1,1,1,1,0,1,1,1,1,"Christ",9,6.22653666928747
"sdavis87",585,0,0,1,0,0,1,0,1,0,0,"Christ",3,6.1527326947041
"diannezl",2776,0,0,1,1,0,1,0,0,1,0,"Christ",4,7.88645727097769
"bittk",411,1,0,1,0,0,1,1,0,0,1,"Christ",5,5.69035945432406
"mhamme11",709,1,1,1,1,1,1,0,1,1,1,"Christ",9,6.38687931936265
"habermee",3017,0,0,1,1,0,1,1,1,1,1,"Christ",7,7.97315543344413
"calebpc",423,1,1,0,0,1,1,1,1,1,1,"Christ",8,5.73009978297357
"wvanhoff",5209,1,0,1,1,1,1,0,1,1,0,"Christ",7,8.5358186555394
"isaogden",1364,0,0,1,0,0,1,0,1,0,0,"Christ",3,7.13009851012558
"jenamah",2246,1,1,1,1,0,1,1,1,1,1,"Christ",9,7.66434663209862
"lkpayne",22301,1,1,1,0,1,1,0,0,1,0,"Christ",6,10.0072167382986
"reaganbh",547,1,0,1,0,1,0,1,1,1,1,"Christ",7,6.06842558824411
"at652",4438,0,0,0,0,0,1,1,1,0,1,"Christ",4,8.37170488466763
"sophiehm",2651,0,0,1,1,0,1,0,0,1,0,"Christ",4,7.83834331555712
"aatkins1",335,1,1,1,1,1,1,1,1,1,1,"Christ",10,5.39362754635236
"brycetl",1306,1,1,1,1,1,1,0,1,0,0,"Professor",7,7.0825485693553
"caydn",440,1,0,0,0,0,1,1,1,0,0,"Professor",4,5.78382518232974
"dalinj",645,1,0,0,1,0,0,0,1,0,0,"Professor",3,6.27287700654617
"kazamm",6461,1,1,0,0,0,1,1,1,1,0,"Professor",6,8.75557997214314
"peternw",1042,1,1,1,1,0,1,1,1,1,1,"Professor",9,6.83195356556585
